lemmatized,Frequency,Collections
thermal flow,1,Consolidated
thermal load simulation,1,Consolidated
thermal management,1,Consolidated
thermal resistance,1,Consolidated
thermal analysis,1,Consolidated
thermal stress,1,Consolidated
thermal topology optimization,1,Consolidated
thermal-hydraulic performance,1,Consolidated
thermal-mechanical coupling,1,Consolidated
thermal-mechanical loading,1,Consolidated
thermo-elastic structure,1,Consolidated
thermal barrier coating (tbc),1,Consolidated
thermal actuator,1,Consolidated
thermoelectricity,1,Consolidated
tensegrity,1,Consolidated
targeted regulation of heat transfer,1,Consolidated
taxonomy,1,Consolidated
temperature control,1,Consolidated
temperature sd,1,Consolidated
temporary support with shield,1,Consolidated
tendon,1,Consolidated
tensile property,1,Consolidated
the tensile strength,1,Consolidated
tesla valve,1,Consolidated
text-guidance,1,Consolidated
textile,1,Consolidated
tg-ftir-gc/ms,1,Consolidated
tgsr algorithm,1,Consolidated
the surrogate model,1,Consolidated
thermoelectric generator efficiency,1,Consolidated
thermogravimetric,1,Consolidated
tower family,1,Consolidated
time-domain spectral element method,1,Consolidated
three-point bending loading,1,Consolidated
three-point bending simulation,1,Consolidated
three-roll planetary rolling,1,Consolidated
thrust force,1,Consolidated
ti-6al-4v titanium alloy,1,Consolidated
tiltrotor,1,Consolidated
tire building machine,1,Consolidated
thin-walled steel structure,1,Consolidated
top kerf width (tkwf),1,Consolidated
top-hat thin-walled structure,1,Consolidated
topological data analysis,1,Consolidated
topology element density,1,Consolidated
torque,1,Consolidated
torsional fatigue,1,Consolidated
three-dimensional magnetic flux,1,Consolidated
thin-walled steel perforated section,1,Consolidated
thermogravimetric analysis,1,Consolidated
thick cylinder,1,Consolidated
thermomechanical,1,Consolidated
thermomechanical fatigue,1,Consolidated
thermomechanical load,1,Consolidated
thermomechanical optimization,1,Consolidated
thermoplastic automated fiber placement,1,Consolidated
thermoviscoelasticity,1,Consolidated
thickness index,1,Consolidated
thin-walled part processing,1,Consolidated
thickness reduction,1,Consolidated
thin -walled structure,1,Consolidated
thin-wall feature,1,Consolidated
thin-walled aircraft panel,1,Consolidated
thin-walled column,1,Consolidated
thin-walled lattice,1,Consolidated
tapered tube,1,Consolidated
tapelaying,1,Consolidated
tall building,1,Consolidated
structure–property relation,1,Consolidated
structure profile,1,Consolidated
structure selection,1,Consolidated
structure-property,1,Consolidated
structure-property linkage,1,Consolidated
structure–property linkage,1,Consolidated
structure–property linkages[maximum of 6],1,Consolidated
stub column,1,Consolidated
structure optimization strategy,1,Consolidated
stylization,1,Consolidated
su8,1,Consolidated
sub-component testing,1,Consolidated
subdividing the force diagram,1,Consolidated
subspace,1,Consolidated
substrate patterning,1,Consolidated
structure prediction,1,Consolidated
structure optimisation,1,Consolidated
taguchi design of experiment,1,Consolidated
structural reliability,1,Consolidated
structural material design,1,Consolidated
structural mechanic,1,Consolidated
structural model updating,1,Consolidated
structural optimal design,1,Consolidated
structural optimisation framework,1,Consolidated
structural performance,1,Consolidated
structural repair,1,Consolidated
structure design and optimization,1,Consolidated
structural response,1,Consolidated
structural safety monitoring,1,Consolidated
structural scantling,1,Consolidated
structural strength,1,Consolidated
structure control,1,Consolidated
structure design,1,Consolidated
subthreshold swing,1,Consolidated
supercavitation,1,Consolidated
supersonic condition,1,Consolidated
synergistic,1,Consolidated
svm method,1,Consolidated
swarm intelligence algorithm,1,Consolidated
swarm optimization algorithm,1,Consolidated
switched reluctance machine,1,Consolidated
swlr,1,Consolidated
synchronous grouting material,1,Consolidated
synergistic effect,1,Consolidated
supervised machine learning,1,Consolidated
syngas fermentation,1,Consolidated
syntactic foam,1,Consolidated
system engineering,1,Consolidated
system theory,1,Consolidated
tabu search,1,Consolidated
taguchi,1,Consolidated
sustainable design evaluation,1,Consolidated
sustainable concrete,1,Consolidated
sustainable building technology,1,Consolidated
surrogate-assisted evolutionary algorithm (ea),1,Consolidated
surrogate-assisted evolutionary algorithm,1,Consolidated
surrogate model methodology,1,Consolidated
surrogate model for nonlinear analysis,1,Consolidated
surface treatment,1,Consolidated
surface strain,1,Consolidated
surface residual stress,1,Consolidated
surface mount technology (smt),1,Consolidated
surface integrity evolution,1,Consolidated
supporting structure of foundation pit,1,Consolidated
support vector regression,1,Consolidated
support vector machine regression,1,Consolidated
support vector machine (svm),1,Consolidated
support structure,1,Consolidated
total mass constraint,1,Consolidated
trace theory,1,Consolidated
production cost reduction,1,Consolidated
warpage deformation,1,Consolidated
volume shrinkage,1,Consolidated
voxel modeling,1,Consolidated
waam,1,Consolidated
wall assembly,1,Consolidated
warm laser shock peening,1,Consolidated
warpage analysis,1,Consolidated
water absorption rate,1,Consolidated
virtual-real fusion,1,Consolidated
water cycle algorithm,1,Consolidated
wave propagation,1,Consolidated
wavelet transform,1,Consolidated
wca,1,Consolidated
weak formulation,1,Consolidated
weakly coupled resonator,1,Consolidated
viscous oil transportation,1,Consolidated
virtual sample,1,Consolidated
wearable device,1,Consolidated
vehicle component,1,Consolidated
variable-resolution design,1,Consolidated
variable-stiffness composite,1,Consolidated
variable-thickness integrally stiffened shell,1,Consolidated
variational autoencoders (vae),1,Consolidated
various thermal distribution,1,Consolidated
vehicle,1,Consolidated
vehicle modeling function,1,Consolidated
virtual proving ground,1,Consolidated
vehicle mounted energy storage battery,1,Consolidated
very large crude carrier (vlcc),1,Consolidated
vgg,1,Consolidated
vibration energy harvesting,1,Consolidated
vibration optimization,1,Consolidated
virtual leave one out,1,Consolidated
wear resistance,1,Consolidated
web -post buckling resistance,1,Consolidated
traditional optimization,1,Consolidated
workflow,1,Consolidated
wireless sensor network,1,Consolidated
wlcsp,1,Consolidated
woa-mlp,1,Consolidated
wood frame,1,Consolidated
wood-based material,1,Consolidated
workability,1,Consolidated
worn surface,1,Consolidated
wind turbine tower,1,Consolidated
woven fabric,1,Consolidated
x ray diffraction,1,Consolidated
yolov5,1,Consolidated
yuki algorithm,1,Consolidated
zero-defect manufacturing,1,Consolidated
zirconium diboride,1,Consolidated
wing design,1,Consolidated
wind turbine blade,1,Consolidated
web opening,1,Consolidated
welding parameter,1,Consolidated
web-post buckling resistance,1,Consolidated
weight optimization,1,Consolidated
weight reduction,1,Consolidated
weighted sum method,1,Consolidated
weld quality,1,Consolidated
welding assembly property,1,Consolidated
welding positional parameter,1,Consolidated
wind tunnel,1,Consolidated
wet packing density,1,Consolidated
whole engine model,1,Consolidated
wide bandwidth,1,Consolidated
wideband antenna,1,Consolidated
wild terrain,1,Consolidated
wind load,1,Consolidated
variable-fidelity surrogate model,1,Consolidated
variable gradient tube,1,Consolidated
variable blank holder force trajectory,1,Consolidated
tssa-lssvm,1,Consolidated
triply periodic minimal surface,1,Consolidated
triply periodic minimal surface (tpms),1,Consolidated
triply periodic minimal surface structure,1,Consolidated
truss optimization,1,Consolidated
tsai -wu,1,Consolidated
tsai-hill failure criterion,1,Consolidated
tube array configuration,1,Consolidated
triangular tube,1,Consolidated
turbine bladed disk,1,Consolidated
turbine blisk,1,Consolidated
turbine trailing edge,1,Consolidated
turbocharger,1,Consolidated
turbocompressor design,1,Consolidated
turbulent flow,1,Consolidated
triboelectric nanogenerator,1,Consolidated
trellis frame,1,Consolidated
"v-shaped rc folded plate deep learning,",1,Consolidated
transient optimization,1,Consolidated
training,1,Consolidated
trajectory planning,1,Consolidated
transfer learning,1,Consolidated
transfer learning based variable-fidelity surrogate model (tl-vfsm),1,Consolidated
transfer reinforcement learning,1,Consolidated
transformer bushing,1,Consolidated
transmission line,1,Consolidated
tree-structured parzen estimator,1,Consolidated
transmission line tower,1,Consolidated
transmission tower,1,Consolidated
transmitter,1,Consolidated
transpiration cooling,1,Consolidated
treatment,1,Consolidated
tree structure,1,Consolidated
turning,1,Consolidated
tversky similarity function,1,Consolidated
twisted-octet lattice,1,Consolidated
unet,1,Consolidated
uncertain input distribution,1,Consolidated
uncertainty calibration and quantification,1,Consolidated
uncertainty propagation,1,Consolidated
uncertainty quantification and propagation,1,Consolidated
uncertainty-integrated and machine learning-based surrogate modeling,1,Consolidated
unconfined compressive strength,1,Consolidated
unet++,1,Consolidated
two-dimensional to three-dimensional digital reconstruction of morphology,1,Consolidated
uniaxial compression,1,Consolidated
uniaxial compressive strength,1,Consolidated
uniaxial forging,1,Consolidated
unified function of objective,1,Consolidated
unsupervised machine learning,1,Consolidated
uv radiation,1,Consolidated
umbrella,1,Consolidated
ultrasonic test,1,Consolidated
ultrasonic nanocrystalline surface modification,1,Consolidated
ultra-thin package,1,Consolidated
ultra-low reynolds number,1,Consolidated
ultra-high-temperature-ceramics (uhtcs),1,Consolidated
ultra-high-strength steel (uhss),1,Consolidated
ultra-high-performance concrete,1,Consolidated
ultra-high performance concrete (uhpc),1,Consolidated
ultimate tesnile force,1,Consolidated
ultimate tensile strength (uts),1,Consolidated
ultimate strength,1,Consolidated
uav,1,Consolidated
tws-smc,1,Consolidated
two-stage aging,1,Consolidated
two-phase material,1,Consolidated
two-directional functionally graded (2d-fg) beam,1,Consolidated
structural layout design,1,Consolidated
structural integrity,1,Consolidated
structural form-finding,1,Consolidated
robust optimization,1,Consolidated
ribbed triple-tube heat exchanger,1,Consolidated
ring tensile test,1,Consolidated
risk optimization,1,Consolidated
rnn-foboa,1,Consolidated
robot crossbeam module,1,Consolidated
robotic cutting,1,Consolidated
robustness metric,1,Consolidated
rheology,1,Consolidated
roll-out solar array,1,Consolidated
roller,1,Consolidated
rotor blade,1,Consolidated
rotorcraft airfoil optimization,1,Consolidated
rsm (response surface method),1,Consolidated
rsw joint of multiple sheet,1,Consolidated
rib feature recognition,1,Consolidated
rheological behavior,1,Consolidated
saddlepoint approximation,1,Consolidated
response surface optimization,1,Consolidated
resnet-50,1,Consolidated
resonance frequency,1,Consolidated
resource supply,1,Consolidated
response surface,1,Consolidated
response surface method (rsm),1,Consolidated
response surface model,1,Consolidated
restricted boltzmann machine,1,Consolidated
review and perspective,1,Consolidated
reticulated trapezoidal flow field,1,Consolidated
reusability,1,Consolidated
reusable model,1,Consolidated
reuse,1,Consolidated
reverse engineering,1,Consolidated
reverse thrust blade,1,Consolidated
rubber aggregate concrete,1,Consolidated
safety,1,Consolidated
structural dynamic performance,1,Consolidated
sensitivity,1,Consolidated
self-organizing map,1,Consolidated
sem,1,Consolidated
semantic segmentation,1,Consolidated
semi,1,Consolidated
semi-rigidity,1,Consolidated
semi-supervised learning,1,Consolidated
separated model based optimization,1,Consolidated
self-compacting concrete,1,Consolidated
separation method,1,Consolidated
seq2seq model,1,Consolidated
sequential approximate optimization,1,Consolidated
sequential approximation optimization,1,Consolidated
sequential deterministic optimization,1,Consolidated
sequential minimal optimization,1,Consolidated
self-consistent field theory,1,Consolidated
self-adaption deep learning,1,Consolidated
safety alert,1,Consolidated
satisficing robust solution,1,Consolidated
salinity,1,Consolidated
salp swarm algorithm,1,Consolidated
sandwich,1,Consolidated
sandwich-structured composite,1,Consolidated
sao (sequential approximation optimization),1,Consolidated
sap2000-oapi,1,Consolidated
scenario simulation,1,Consolidated
self organizing feature map,1,Consolidated
scientific machine learning,1,Consolidated
scissor lift platform,1,Consolidated
seam tracking,1,Consolidated
segment deformation,1,Consolidated
segmental structure,1,Consolidated
selective laser melting (slm),1,Consolidated
resin transfer molding,1,Consolidated
residual fatigue life,1,Consolidated
renewable energy,1,Consolidated
radial basis function neural network (rbfnn),1,Consolidated
quantum pso algorithm,1,Consolidated
quasi-static,1,Consolidated
quasi-static indentation,1,Consolidated
quasi-static loading,1,Consolidated
radial arrangement,1,Consolidated
radial basis function network,1,Consolidated
random field,1,Consolidated
quality assurance (qa),1,Consolidated
random forest (rf) classification,1,Consolidated
random forest algorithm,1,Consolidated
random variable,1,Consolidated
ratio data,1,Consolidated
rbdo,1,Consolidated
rbf (radial basis function),1,Consolidated
quantifying production effort,1,Consolidated
qualification of optimization,1,Consolidated
remote handling,1,Consolidated
pruned sparse fuzzy neural network,1,Consolidated
production engineering,1,Consolidated
progressive damage,1,Consolidated
property,1,Consolidated
property prediction,1,Consolidated
proprioception,1,Consolidated
propylene,1,Consolidated
pseudo-labels,1,Consolidated
qfn,1,Consolidated
pso method,1,Consolidated
psp linkage,1,Consolidated
pump spindle assembly,1,Consolidated
pvt-optimization,1,Consolidated
python library,1,Consolidated
q-learning,1,Consolidated
rc corbel,1,Consolidated
rdl pattern,1,Consolidated
rdo (robust design optimization),1,Consolidated
relaxation,1,Consolidated
reinforced earth wall,1,Consolidated
reinforced lightweight soil,1,Consolidated
reinforced patch,1,Consolidated
reinforcement learning (rl),1,Consolidated
reinforcement ratio,1,Consolidated
related failure mode,1,Consolidated
relaxation ratio,1,Consolidated
re-entrant auxetic structure,1,Consolidated
reliability -based design optimization,1,Consolidated
reliability optimization,1,Consolidated
reliability with confidence,1,Consolidated
reliability-based design optimisation,1,Consolidated
reliability-based topology optimization,1,Consolidated
reliability-based wind design,1,Consolidated
reinforced cement concrete beam,1,Consolidated
regression model,1,Consolidated
regression analysis (ra),1,Consolidated
regression analysis,1,Consolidated
redundant,1,Consolidated
reduction of waste,1,Consolidated
reduced design space,1,Consolidated
redox flow battery,1,Consolidated
red mud,1,Consolidated
recurrent neural network,1,Consolidated
recrystallization annealing,1,Consolidated
reconfigurable structure,1,Consolidated
reconfigurable antenna,1,Consolidated
recognition of solder joint,1,Consolidated
real-time topology optimization,1,Consolidated
reactor pressure vessel,1,Consolidated
reactive powder concrete (rpc),1,Consolidated
serial robot,1,Consolidated
serpentine,1,Consolidated
serpentine channel water-cooled plate,1,Consolidated
statistical index,1,Consolidated
static analysis,1,Consolidated
static stiffness,1,Consolidated
static strength,1,Consolidated
statical testing,1,Consolidated
statistical analysis,1,Consolidated
statistical approach,1,Consolidated
statistical method,1,Consolidated
staggered structure,1,Consolidated
statistical uncertainty,1,Consolidated
steam generator,1,Consolidated
steel fibre reinforcement,1,Consolidated
steel joint,1,Consolidated
steel structure,1,Consolidated
steel structure system,1,Consolidated
state of charge (soc),1,Consolidated
stadium roof,1,Consolidated
space frame structure,1,Consolidated
speed,1,Consolidated
space reduction,1,Consolidated
sparse multi-objective optimization,1,Consolidated
spatial agreement,1,Consolidated
spatial econometric model,1,Consolidated
spatial structure joint,1,Consolidated
special environment application,1,Consolidated
spoke structure,1,Consolidated
stacking sequence,1,Consolidated
spraying method,1,Consolidated
srms,1,Consolidated
ssa,1,Consolidated
stability,1,Consolidated
stability loss,1,Consolidated
stacking line,1,Consolidated
steel wind turbine tower,1,Consolidated
stiffened panel,1,Consolidated
stiffness matrix,1,Consolidated
structural compliance,1,Consolidated
stress field prediction,1,Consolidated
stress reduction,1,Consolidated
stress-based topology optimization,1,Consolidated
stress-intensity factor,1,Consolidated
stretchable antenna-based strain sensor,1,Consolidated
stretchable electronics,1,Consolidated
structural coupling,1,Consolidated
stir casting,1,Consolidated
structural crashworthiness,1,Consolidated
structural damage,1,Consolidated
structural damage identification,1,Consolidated
structural deformation pattern recognition,1,Consolidated
structural design and development,1,Consolidated
structural design and manufacturing,1,Consolidated
stress field,1,Consolidated
stress and displacement constraint,1,Consolidated
stress analysis,1,Consolidated
strengthening,1,Consolidated
strength failure analysis,1,Consolidated
strength design,1,Consolidated
strength and toughness,1,Consolidated
strain/stress tensor,1,Consolidated
strain-controlled loading,1,Consolidated
strain energy,1,Consolidated
store vibration,1,Consolidated
stochastic variance reduced gradient (svrg),1,Consolidated
stochastic topology optimization,1,Consolidated
stochastic microstructures,1,Consolidated
stochastic gradient descent,1,Consolidated
stochastic chance-constrained programming,1,Consolidated
stochastic average gradient (sag),1,Consolidated
space mapping,1,Consolidated
sound insulation prediction,1,Consolidated
set‐based design,1,Consolidated
silicone rubber elastic button,1,Consolidated
shrinkage deformation,1,Consolidated
si,1,Consolidated
si-ge alloy interfacial structure,1,Consolidated
sic/al composite,1,Consolidated
"silica-carbon composite, oxyacetylene",1,Consolidated
silicon photonics,1,Consolidated
sillover effect,1,Consolidated
short column,1,Consolidated
similarity measure optimization,1,Consolidated
simp,1,Consolidated
simple linear regression,1,Consolidated
simufact software,1,Consolidated
simulation-based gaussian process,1,Consolidated
simultaneous superior stiffness and toughness,1,Consolidated
shrinkage,1,Consolidated
short channel effect,1,Consolidated
sound insulation,1,Consolidated
shear design,1,Consolidated
sfe canister,1,Consolidated
shallow network,1,Consolidated
shape memory,1,Consolidated
shape memory alloy (sma),1,Consolidated
shape performance coupling,1,Consolidated
shape sensing,1,Consolidated
shear wall building model,1,Consolidated
ship,1,Consolidated
shell,1,Consolidated
shell buckling,1,Consolidated
shell construction,1,Consolidated
shell with cut out,1,Consolidated
shell-and-tube,1,Consolidated
shield tunnel,1,Consolidated
single and multi-objective shape optimization,1,Consolidated
single point incremental collar forming (spicf),1,Consolidated
single-sided formwork supporting system,1,Consolidated
solid modeling,1,Consolidated
soft magnetic composite,1,Consolidated
soft robot design,1,Consolidated
soft robotic system,1,Consolidated
solar energy system,1,Consolidated
solder alloy,1,Consolidated
solid isotropic microstructure with penalization,1,Consolidated
solid oxide fuel cell,1,Consolidated
singular value decomposition (svd),1,Consolidated
solid oxide fuel cell stack,1,Consolidated
solid state joining,1,Consolidated
solid state transformer,1,Consolidated
solution annealing heat treatment,1,Consolidated
solution space,1,Consolidated
sound absorber,1,Consolidated
soft actuator,1,Consolidated
snail shell,1,Consolidated
smpso algorithm,1,Consolidated
smart structure,1,Consolidated
smart composite laminate,1,Consolidated
smart alloy,1,Consolidated
small-scale structure,1,Consolidated
sma,1,Consolidated
slime mould algorithm,1,Consolidated
sketch aided design,1,Consolidated
sizing optimization,1,Consolidated
size reduction,1,Consolidated
size effect,1,Consolidated
size,1,Consolidated
sintering,1,Consolidated
sintered fly ash aggregate,1,Consolidated
sintered density,1,Consolidated
robotic gmaw,1,Consolidated
lightweight multifunctional metamaterials,1,Consolidated
metal–plastic direct joining,1,Consolidated
crystal plasticity,1,Consolidated
crack,1,Consolidated
crack mode,1,Consolidated
crane,1,Consolidated
crash-performance,1,Consolidated
crashworthiness analysis,1,Consolidated
crashworthiness capacity,1,Consolidated
crashworthiness indicator,1,Consolidated
crashworthiness optimisation,1,Consolidated
crashworthy structure,1,Consolidated
critical plane model,1,Consolidated
critical soft switching,1,Consolidated
critical velocity,1,Consolidated
cross entropy,1,Consolidated
cross validation,1,Consolidated
crush signal,1,Consolidated
coupling effect of temperature and strain rate,1,Consolidated
coupler structure optimization,1,Consolidated
coupler design,1,Consolidated
cooling blade,1,Consolidated
control variate,1,Consolidated
controllable anisotropy,1,Consolidated
convergence speed,1,Consolidated
convolution neural network (cnn),1,Consolidated
convolutional concrete beam,1,Consolidated
convolutional neural network (cnns),1,Consolidated
cooling technology,1,Consolidated
cost-efficient structural design,1,Consolidated
coordinate projection,1,Consolidated
core structure design,1,Consolidated
core-shell structure,1,Consolidated
coreless linear motor,1,Consolidated
corner modelling,1,Consolidated
cost analysis,1,Consolidated
crushing force,1,Consolidated
crystallographic structure,1,Consolidated
contact pressure,1,Consolidated
cu-al alloy,1,Consolidated
cylindrical stiffened shell,1,Consolidated
cylindrical structure,1,Consolidated
d-optimal design method,1,Consolidated
d-optimal mixture design (domd),1,Consolidated
da-mlp,1,Consolidated
damage assessment,1,Consolidated
damage detection,1,Consolidated
damage forecasting,1,Consolidated
damage identification,1,Consolidated
damage mode,1,Consolidated
damage tolerance,1,Consolidated
damage tolerant,1,Consolidated
damping,1,Consolidated
data -driven framework,1,Consolidated
data augmentation,1,Consolidated
cylindrical shell structure,1,Consolidated
cylindrical composite shell,1,Consolidated
cylinder,1,Consolidated
curved shell,1,Consolidated
cuckoo search,1,Consolidated
curing,1,Consolidated
curvature,1,Consolidated
curvature constraint,1,Consolidated
curvature functional,1,Consolidated
curved beam,1,Consolidated
curvilinear stiffener,1,Consolidated
cycling performance simulation,1,Consolidated
curvilinearly stiffened panel,1,Consolidated
cutout,1,Consolidated
cutting edge profile stability,1,Consolidated
cutting force,1,Consolidated
cyclic hysteresis loop,1,Consolidated
cyclic loading,1,Consolidated
contour method,1,Consolidated
contact force,1,Consolidated
cobalt-free cathode,1,Consolidated
composite structure assembly,1,Consolidated
component,1,Consolidated
component mode synthesis,1,Consolidated
composite aero-structures,1,Consolidated
composite analysis,1,Consolidated
composite bridge deck,1,Consolidated
composite cylindrical shell,1,Consolidated
composite floor,1,Consolidated
composite hat-shape,1,Consolidated
composite lattice,1,Consolidated
composite material optimization,1,Consolidated
composite optimization,1,Consolidated
composite plate,1,Consolidated
composite sandwich structural component,1,Consolidated
composite shaft,1,Consolidated
composite shell,1,Consolidated
compliant mechanism,1,Consolidated
compliance minimization topology optimization,1,Consolidated
complex truss,1,Consolidated
column,1,Consolidated
cohesive force model,1,Consolidated
cohesive zone modeling,1,Consolidated
cold bending centre sill,1,Consolidated
collaborative optimization,1,Consolidated
collapsible tubular mast (ctms),1,Consolidated
colony initial sparsification,1,Consolidated
combinatorial approach,1,Consolidated
complex concentrated alloy,1,Consolidated
combinatorial optimization algorithm,1,Consolidated
combine surrogate model,1,Consolidated
commercial aircraft engine,1,Consolidated
common structural rule (csr),1,Consolidated
competitive sampling,1,Consolidated
complex chemical process,1,Consolidated
composite steel–concrete beam,1,Consolidated
composite tank,1,Consolidated
contact analysis,1,Consolidated
composite timoshenko beam time domain spectral element formulation,1,Consolidated
conceptual structural design,1,Consolidated
concrete hollow composite slab,1,Consolidated
concrete shell,1,Consolidated
concrete-filled steel tube,1,Consolidated
concrete-filled steel tube (cfst),1,Consolidated
concrete-filled steel tube arch bridge,1,Consolidated
concurrent topology optimization,1,Consolidated
conjugate heat transfer (cht),1,Consolidated
connecting bracket,1,Consolidated
constitutive model,1,Consolidated
constitutive modelling,1,Consolidated
constrained bayesian optimization,1,Consolidated
constrained multi-objective optimization,1,Consolidated
constraint handling technique,1,Consolidated
construction,1,Consolidated
conceptual design support,1,Consolidated
computer-aided innovation (cai),1,Consolidated
computer aided engineering,1,Consolidated
compressive strength of structural lightweight concrete,1,Consolidated
composite tube,1,Consolidated
comprehensive learning particle swarm optimization,1,Consolidated
compressible packing model,1,Consolidated
compression property,1,Consolidated
compression/impact resistance,1,Consolidated
compressive behavior,1,Consolidated
compressive strength prediction,1,Consolidated
computationally expensive,1,Consolidated
compressor,1,Consolidated
compressor cascade,1,Consolidated
computational design,1,Consolidated
computational model,1,Consolidated
computational simulation,1,Consolidated
computational thermodynamics,1,Consolidated
data clustering,1,Consolidated
data coarsening,1,Consolidated
data collection,1,Consolidated
effective property,1,Consolidated
dual-loop optimization,1,Consolidated
duplex stainless steel,1,Consolidated
durability,1,Consolidated
dynamic constraint,1,Consolidated
dynamic crushing,1,Consolidated
dynamic model,1,Consolidated
dynamic multi-objective particle swarm,1,Consolidated
dynamic recrystallization,1,Consolidated
dynamic strain aging,1,Consolidated
dynamic three-point bending,1,Consolidated
earthquake loading,1,Consolidated
ebfnn,1,Consolidated
ecap,1,Consolidated
edge extraction,1,Consolidated
effective energy storage ratio,1,Consolidated
dual-elite population,1,Consolidated
dual darrieus wind turbine,1,Consolidated
drop-impact behavior,1,Consolidated
distributed collaborative response surface method,1,Consolidated
discharge point distribution,1,Consolidated
discontinuous reinforced metal matrix composite,1,Consolidated
discrete design variable,1,Consolidated
discrete solution,1,Consolidated
disordered metamaterials,1,Consolidated
distortion behavior,1,Consolidated
distributed collaborative strategy,1,Consolidated
dqa,1,Consolidated
distribution network,1,Consolidated
docol 1300,1,Consolidated
doe (design of experiments),1,Consolidated
dogbone,1,Consolidated
double-hull oil tanker,1,Consolidated
double-k fracture toughness,1,Consolidated
effective model,1,Consolidated
effective strength surface,1,Consolidated
data dimension reduction,1,Consolidated
efficient global optimization,1,Consolidated
elevated temperature,1,Consolidated
ellipsoidal basis function neural network,1,Consolidated
elliptical web opening,1,Consolidated
elliptically -based web opening,1,Consolidated
embodied carbon,1,Consolidated
enclosure structure,1,Consolidated
encoding,1,Consolidated
energy,1,Consolidated
energy absorption mechanism,1,Consolidated
energy consumption,1,Consolidated
energy consumption (ec),1,Consolidated
energy demand,1,Consolidated
energy density,1,Consolidated
energy dissipation history,1,Consolidated
energy efficiency,1,Consolidated
electromechanical impedance,1,Consolidated
electromagnetism,1,Consolidated
electromagnetic model,1,Consolidated
electro-mechanical behaviour,1,Consolidated
elbow exoskeleton,1,Consolidated
electric aircraft,1,Consolidated
electric breakdown,1,Consolidated
electric motor,1,Consolidated
electrical contact,1,Consolidated
electro-mechanical behavior,1,Consolidated
electro-thermal analysis,1,Consolidated
electromagnetic launch,1,Consolidated
electrode design,1,Consolidated
electrode material,1,Consolidated
electrolyte,1,Consolidated
electromagnetic compatibility,1,Consolidated
electromagnetic force,1,Consolidated
electromagnetic interference shielding (emi) (b),1,Consolidated
directional orientation,1,Consolidated
direct water cooling,1,Consolidated
direct energy deposition,1,Consolidated
dipole antenna,1,Consolidated
deep feedforward neural network (dnn),1,Consolidated
deep learning approach,1,Consolidated
deep learning classification,1,Consolidated
deep learning model,1,Consolidated
deep learning neural network,1,Consolidated
deep learning: generative adversarial network,1,Consolidated
deep physical-informed neural network,1,Consolidated
deep residual network (resnet),1,Consolidated
deep-learning-based regressor,1,Consolidated
deep-subwavelength bandgap,1,Consolidated
defect detection,1,Consolidated
defect predication,1,Consolidated
deformation pattern,1,Consolidated
delamination factor,1,Consolidated
delamination flaw,1,Consolidated
deep convolutional neural network,1,Consolidated
deep convolitional neural network,1,Consolidated
deep clustering,1,Consolidated
data-driven computational framework,1,Consolidated
data driven approach,1,Consolidated
data fusion,1,Consolidated
data mapping,1,Consolidated
data model,1,Consolidated
data statistic,1,Consolidated
data-driven approach,1,Consolidated
data-driven method,1,Consolidated
deep belief network,1,Consolidated
de algorithm,1,Consolidated
de-homogenization,1,Consolidated
de-oiled,1,Consolidated
decision fusion strategy,1,Consolidated
decision making,1,Consolidated
decision support,1,Consolidated
delta parallel manipulator,1,Consolidated
densification,1,Consolidated
density functional theory,1,Consolidated
dexterity,1,Consolidated
design theory and methodology,1,Consolidated
design tool,1,Consolidated
design under uncertainty,1,Consolidated
design visualization,1,Consolidated
desirability analysis,1,Consolidated
desirability function,1,Consolidated
dfmc,1,Consolidated
design sketch,1,Consolidated
diesel engine oil cooler cover,1,Consolidated
differential evolution (de),1,Consolidated
differential evolution algorithm (de),1,Consolidated
diffuse approximation,1,Consolidated
digital morphogenesis,1,Consolidated
dimensional accuracy,1,Consolidated
design tactic,1,Consolidated
design rule,1,Consolidated
deployable composite boom,1,Consolidated
design history retrieval,1,Consolidated
deployable composite structure,1,Consolidated
deployable space structure,1,Consolidated
deployable truss structure,1,Consolidated
deposition height,1,Consolidated
design allowables,1,Consolidated
design factor,1,Consolidated
design morphology,1,Consolidated
design requirement,1,Consolidated
design of laminated composite structure,1,Consolidated
design optimization algorithm,1,Consolidated
design parameter,1,Consolidated
design recommendation,1,Consolidated
design representation,1,Consolidated
design representative,1,Consolidated
cocoso,1,Consolidated
co-machining,1,Consolidated
metallocene catalyst,1,Consolidated
artificial intelligence-aided,1,Consolidated
anova,1,Consolidated
ansys acp,1,Consolidated
application discussion,1,Consolidated
applied voltage,1,Consolidated
approximate model,1,Consolidated
arbitrary geometry,1,Consolidated
arc welding,1,Consolidated
archetype,1,Consolidated
architected material,1,Consolidated
architectural geometry,1,Consolidated
architectured material,1,Consolidated
armature,1,Consolidated
artificial design intuition,1,Consolidated
artificial intelligence (ai),1,Consolidated
artificial intelligence algorithm,1,Consolidated
ann modeling,1,Consolidated
anisotropic prestress,1,Consolidated
angle between subspace,1,Consolidated
aluminum alloy tube structure,1,Consolidated
alsn6cu-al2o3,1,Consolidated
alsn6cu–al<sub>2</sub>o<sub>3</sub>,1,Consolidated
aluminium,1,Consolidated
aluminium alloy,1,Consolidated
aluminium foam,1,Consolidated
aluminum alloy,1,Consolidated
aluminum connector,1,Consolidated
